,weighted_mean,freq,min,max,std
NNS VVG NN ,0.7183781836834484,145,0.6065261561,0.7909747701,0.0630327356827624
NN NN NN JJ ,0.6964661800826086,46,0.6018659311,0.7908338031,0.060766933175816745
NN NN NN NP ,0.6915194415279413,68,0.6018659311,0.7908338031,0.04189188764132882
IN VVG ,0.7894974014,2,0.7894974014,0.7894974014,0.0
VVG NN NN NNS ,0.7678541431603774,53,0.7339289186,0.7892362645,0.024237501093559287
NP VVD NN ,0.7401913972999999,3,0.7162250733,0.7881240453,0.03389350044102783
VV NNS NN ,0.7868347026,18,0.7868347026,0.7868347026,0.0
VVP NNS NN ,0.7868347025999999,3,0.7868347026,0.7868347026,1.1102230246251565e-16
NP NN VVN ,0.786607851,1,0.786607851,0.786607851,0.0
NN JJ JJ NN ,0.6400755027856968,1636,0.6164545911,0.786140835,0.01554354290514522
NP NN JJ NN ,0.690700006875,8,0.6347798299,0.7860171504,0.05698351632128293
JJ NN JJ NN ,0.6361913386582323,1731,0.6146079492,0.7860171504,0.02523064001236423
NP NN NN NNS ,0.7849531074,1,0.7849531074,0.7849531074,0.0
JJ NN VVP ,0.6585408111600001,5,0.6087680276,0.7846704118,0.06376434841787272
VVG NN NP ,0.7387986589375,16,0.7358832969,0.7825290895,0.011291148619402825
NN NP NNS ,0.7825246351,5,0.7825246351,0.7825246351,0.0
NP NP NNS ,0.7825246351,11,0.7825246351,0.7825246351,0.0
NP NP VVZ ,0.7825246351,1,0.7825246351,0.7825246351,0.0
RBR NN ,0.7822250545,1,0.7822250545,0.7822250545,0.0
JJ NN RB ,0.7808030387000001,12,0.7808030387,0.7808030387,1.1102230246251565e-16
NP VVG NNS ,0.6837160831428573,7,0.6452524958,0.7798750515,0.0608162714921262
NN VVZ NP ,0.7713708340700001,10,0.7516470859,0.779823869,0.012912224139610268
VVP JJ NN NN ,0.7120183226285715,7,0.7009730617,0.7782898882,0.027055253350899526
VV JJ NN NN ,0.7267449718444445,27,0.6411715244,0.7782898882,0.044490010045074406
NN JJ NNS ,0.7433989381763161,38,0.6696323833,0.7764388939,0.03839672171740963
NN VVN NNS ,0.7599030505666668,48,0.7446900747,0.7764388939,0.01586062374451207
NN VVD NNS ,0.770262477575,4,0.7517332286,0.7764388939,0.010697866883597829
VVP NP NP ,0.7761870247,1,0.7761870247,0.7761870247,0.0
VV NP NNS ,0.7413014951807692,52,0.6927479796,0.7756631863,0.0360307333741059
VVP NP NNS ,0.7756631863,16,0.7756631863,0.7756631863,0.0
JJ FW FW ,0.7754751907,3,0.7754751907,0.7754751907,0.0
NP NP FW ,0.7754751907,1,0.7754751907,0.7754751907,0.0
NP NN NN NN CD ,0.740192031775,44,0.6399056446,0.7736208275,0.05790037263154131
NP NN NN NN NP ,0.7736208275,1,0.7736208275,0.7736208275,0.0
SYM SYM ,0.7722209984,11,0.7722209984,0.7722209984,0.0
NN NN NN NN NN ,0.6997340506740459,262,0.6108926064,0.771441045,0.04913157674715206
RBR VV ,0.7694973863374999,8,0.7692038661,0.7695393178,0.00011094022188420872
NP NNS NN ,0.7689736053,1,0.7689736053,0.7689736053,0.0
NN NN NN VVP ,0.7685612575,4,0.7685612575,0.7685612575,0.0
JJ JJ JJ ,0.6922125299266665,30,0.6729731751,0.7670022512,0.03186560521331106
IN VVG NN ,0.7666494583,1,0.7666494583,0.7666494583,0.0
VVG NN NN NN NN VVZ ,0.7660223387999998,23,0.7660223388,0.7660223388,2.220446049250313e-16
VVN NN VV ,0.7658519758,2,0.7658519758,0.7658519758,0.0
NN NP NN ,0.7137049741290327,31,0.642596433,0.7645903225,0.05676404803663781
JJ NN NN VVG ,0.7572998833,32,0.7518183093,0.7643476213,0.006215520684513225
JJ JJ NN VVG ,0.7640838387999999,114,0.7640838388,0.7640838388,1.1102230246251565e-16
